id,function,group,owner_phase,owner_step,blueprint_ref,status,unresolved_conflict
API047,preset_jebs_strict,preset,Phase 7,Step 7.1,ch10 sec10.12 and ch13,implemented,T1a strict sigma_tau 0.15 anchor
API048,preset_walters_2024,preset,Phase 7,Step 7.2,ch10 sec10.12 and ch13,implemented,sparse Walters motif deferred to v1.1
API049,preset_twin_towers,preset,Phase 7,Step 7.2,ch10 sec10.12 and ch13,implemented,Q13 paradigm A vs B reversal cost noted
API050,preset_meta_modest,preset,Phase 7,Step 7.2,ch10 sec10.12 and ch13,implemented,none
API051,preset_small_area_estimation,preset,Phase 7,Step 7.2,ch10 sec10.12 and ch13,implemented,none
API052,design_grid,wrapper,Phase 7,Step 7.5,ch10 sec10.13,implemented,reps argument removed and scenario_audit owns replication
API053,print.multisitedgp_data,S3,Phase 6,Step 6.6,ch10 sec10.14.1,implemented,compact headline report; Gate C Step 1.3 fixes no-target headline wording; Step 8.6 owns exact snapshots
API054,print.multisitedgp_design,S3,Phase 6,Step 6.6,ch10 sec10.14.0,implemented,multi-line design summary
API055,summary.multisitedgp_data,S3,Phase 6,Step 6.6,ch10 sec10.14.2,implemented,direct print and invisible object; Gate C Step 1.3 makes summary title preset-aware without stale custom suffix
API056,format.multisitedgp_design,S3,Phase 6,Step 6.6,ch10 sec10.14.3,implemented,multi-line ch17-style design summary
API057,[.multisitedgp_data,S3,Phase 2,Step 2.3,ch10 sec10.14.4,implemented,row subset stale diagnostics rule
API058,as_tibble.multisitedgp_data,S3,Phase 2,Step 2.3,ch10 sec10.14.5,implemented,S3 method registration row for the API025 adapter contract
API059,is_multisitedgp_data,predicate,Phase 2,Step 2.3,ch10 sec10.14.5,implemented,none
API060,compute_kappa,diagnostic,Phase 4,Step 4.2,ch04 sec3 and ch06 sec2.2,implemented,Gate E Q16 amendment keeps kappa primitive public and ch10 inventory now includes it
